11:0.06028,0.47850,7,235,18,276;0.41256,0.89132,432,458,450,499;0.33647,0.60913,327,280,340,316;0.32375,0.48743,328,224,340,257;0.37691,0.25225,452,135,464,165;0.49326,0.94367,627,510,644,540;0.47437,0.67619,592,315,606,350;0.41282,0.44845,493,205,504,239;0.49990,0.49229,642,227,657,257;0.49626,0.87272,634,442,650,481;0.49541,0.54542,635,249,648,281;0.92899,0.52276,-100,-100,-200,-200;0.68732,0.30991,936,153,949,183;0.70294,0.50254,999,228,1014,259;0.72994,0.70505,1106,321,1120,362;0.73062,0.84884,1161,418,1180,455;0.62974,0.52692,875,235,889,271;0.71117,0.82538,1111,397,1124,439;0.61654,0.64844,872,294,883,332;0.51693,0.30344,668,151,681,181;0.53960,0.37964,708,179,721,210;0.53378,0.78455,717,379,730,416:NaN,NaN:-36,91,1299,90,1903,570,-732,619
12:0.06028,0.47850,7,235,18,276;0.41270,0.89104,433,458,451,499;0.33641,0.60917,327,280,339,316;0.32375,0.48749,328,224,340,257;0.37688,0.25191,452,135,464,165;0.49326,0.94367,627,510,644,540;0.47459,0.67679,592,315,605,350;0.41282,0.44845,493,205,504,239;0.49990,0.49229,642,227,657,257;0.49621,0.87269,634,442,650,481;0.49541,0.54555,635,249,648,281;0.92899,0.52276,-100,-100,-200,-200;0.68732,0.30991,936,153,949,183;0.70294,0.50254,999,228,1014,259;0.72996,0.70499,1106,321,1120,362;0.73062,0.84884,1161,418,1180,455;0.62974,0.52692,875,236,889,271;0.71108,0.82527,1111,397,1124,439;0.61654,0.64844,872,294,883,332;0.51719,0.30350,669,151,682,182;0.53973,0.37973,708,179,721,210;0.53377,0.78454,717,379,730,416:NaN,NaN:-36,91,1299,90,1904,570,-732,619
13:0.06028,0.47850,7,235,18,276;0.41287,0.89080,433,457,451,498;0.33633,0.60906,327,280,339,316;0.32370,0.48755,328,224,340,257;0.37685,0.25151,452,134,464,164;0.49326,0.94367,627,510,644,540;0.47480,0.67730,593,315,606,350;0.41282,0.44845,493,205,504,239;0.49990,0.49229,642,227,657,257;0.49613,0.87302,634,442,651,481;0.49540,0.54572,635,249,648,281;0.92899,0.52276,-100,-100,-200,-200;0.68732,0.30991,936,153,949,183;0.70294,0.50254,999,228,1014,259;0.72997,0.70492,1106,321,1120,362;0.73062,0.84884,1161,418,1180,455;0.62974,0.52692,875,236,889,271;0.71096,0.82518,1110,397,1124,439;0.61654,0.64844,872,294,883,332;0.51744,0.30355,669,151,682,182;0.53988,0.37979,708,180,721,211;0.53376,0.78453,717,379,730,416:NaN,NaN:-36,91,1299,90,1903,570,-732,619
14:0.06028,0.47850,7,235,18,276;0.41304,0.89060,433,457,451,498;0.33622,0.60896,326,280,338,316;0.32360,0.48749,328,224,340,257;0.37682,0.25117,452,134,464,164;0.49326,0.94367,627,510,644,540;0.47498,0.67773,593,315,606,350;0.41282,0.44845,493,205,504,239;0.49990,0.49229,642,227,657,257;0.49599,0.87308,633,442,650,481;0.49541,0.54598,635,249,648,281;0.92899,0.52276,-100,-100,-200,-200;0.68732,0.30991,936,153,949,183;0.70294,0.50254,999,228,1014,259;0.72998,0.70486,1106,321,1120,362;0.73062,0.84884,1160,418,1179,455;0.62974,0.52692,875,236,889,271;0.71086,0.82510,1110,397,1124,439;0.61654,0.64844,872,294,883,332;0.51767,0.30339,670,151,683,182;0.54002,0.37984,708,180,721,211;0.53375,0.78453,717,379,730,416:NaN,NaN:-36,91,1299,90,1904,570,-732,619
15:0.06028,0.47850,7,235,18,276;0.41321,0.89035,434,457,452,498;0.33611,0.60888,326,280,338,316;0.32357,0.48764,328,224,340,257;0.37678,0.25067,452,134,464,164;0.49326,0.94367,627,510,644,540;0.47517,0.67817,594,316,607,352;0.41282,0.44845,493,205,504,239;0.49990,0.49229,642,227,656,257;0.49593,0.87325,633,442,650,481;0.49541,0.54639,635,249,648,281;0.92899,0.52276,-100,-100,-200,-200;0.68732,0.30991,936,153,949,183;0.70294,0.50254,999,228,1014,259;0.73000,0.70479,1106,321,1120,362;0.73062,0.84884,1160,418,1179,455;0.62974,0.52692,875,236,889,271;0.71077,0.82503,1110,397,1124,439;0.61654,0.64844,872,294,883,332;0.51788,0.30334,670,151,683,182;0.54020,0.37989,708,180,721,211;0.53375,0.78452,717,379,730,416:NaN,NaN:-36,91,1299,90,1904,570,-732,619
16:0.06028,0.47850,7,235,18,276;0.41337,0.89009,434,457,452,498;0.33600,0.60881,326,280,338,316;0.32358,0.48781,328,224,340,257;0.37675,0.25023,452,134,464,164;0.49326,0.94367,627,511,644,540;0.47533,0.67855,594,316,607,352;0.41282,0.44845,493,205,504,239;0.49990,0.49229,642,227,656,257;0.49566,0.87410,633,442,650,482;0.49541,0.54627,635,249,648,281;0.92899,0.52276,-100,-100,-200,-200;0.68732,0.30991,936,152,949,183;0.70294,0.50254,999,228,1014,259;0.73001,0.70472,1106,321,1120,362;0.73062,0.84884,1160,418,1179,455;0.62974,0.52692,875,236,889,271;0.71070,0.82497,1110,397,1124,439;0.61654,0.64844,872,294,883,332;0.51809,0.30340,671,151,684,182;0.54037,0.37993,708,180,721,210;0.53374,0.78452,717,379,730,416:NaN,NaN:-36,91,1299,90,1904,570,-732,619
17:0.06028,0.47850,7,235,18,276;0.41355,0.88982,434,457,452,498;0.33591,0.60886,326,280,338,316;0.32360,0.48803,328,224,340,257;0.37672,0.24985,452,134,464,164;0.49326,0.94367,627,511,644,540;0.47548,0.67883,595,316,607,352;0.41282,0.44845,493,205,503,239;0.49990,0.49229,642,227,656,257;0.49566,0.87409,633,442,650,482;0.49540,0.54601,635,249,648,281;0.92899,0.52276,-100,-100,-200,-200;0.68732,0.30991,936,152,949,183;0.70294,0.50254,999,228,1014,259;0.73002,0.70466,1106,320,1120,361;0.73062,0.84884,1160,418,1179,455;0.62974,0.52692,875,236,889,271;0.71063,0.82492,1109,397,1123,439;0.61654,0.64844,872,294,883,332;0.51832,0.30345,671,151,683,182;0.54056,0.38008,709,180,722,210;0.53373,0.78451,717,379,730,416:NaN,NaN:-36,91,1299,90,1904,570,-732,619
18:0.06028,0.47850,7,235,18,276;0.41373,0.88959,435,456,453,497;0.33583,0.60896,326,280,338,316;0.32361,0.48817,328,224,340,257;0.37670,0.24951,452,134,464,164;0.49326,0.94367,627,511,644,540;0.47558,0.67908,595,316,607,352;0.41282,0.44845,493,205,503,239;0.49990,0.49229,642,227,656,257;0.49565,0.87409,632,442,649,482;0.49540,0.54462,635,249,648,281;0.92899,0.52276,-100,-100,-200,-200;0.68732,0.30991,936,152,949,183;0.70294,0.50254,999,228,1014,259;0.73004,0.70459,1106,320,1120,361;0.73062,0.84884,1160,418,1179,455;0.62974,0.52692,875,236,889,271;0.71056,0.82484,1109,397,1124,439;0.61654,0.64844,872,294,883,332;0.51852,0.30349,671,151,683,182;0.54075,0.38031,709,180,722,210;0.53372,0.78450,717,380,730,416:NaN,NaN:-36,91,1299,90,1904,570,-732,619
19:0.06028,0.47850,7,235,18,276;0.41391,0.88938,435,456,453,497;0.33574,0.60910,326,280,338,316;0.32360,0.48817,328,224,340,257;0.37669,0.24937,452,134,464,164;0.49326,0.94367,627,511,644,540;0.47568,0.67935,596,316,608,352;0.41282,0.44845,493,205,503,239;0.49990,0.49229,642,227,656,257;0.49565,0.87408,632,442,649,482;0.49540,0.54458,635,249,648,281;0.92899,0.52276,-100,-100,-200,-200;0.68732,0.30991,936,152,949,183;0.70294,0.50254,999,228,1014,259;0.73005,0.70453,1106,320,1120,361;0.73062,0.84884,1160,418,1179,455;0.62974,0.52692,875,236,889,271;0.71047,0.82480,1108,397,1123,439;0.61654,0.64844,872,293,883,332;0.51870,0.30353,672,151,684,182;0.54093,0.38051,709,180,722,210;0.53372,0.78450,717,380,730,416:NaN,NaN:-36,91,1299,90,1904,570,-733,619
20:0.06028,0.47850,7,235,18,276;0.41411,0.88919,436,456,455,497;0.33568,0.60932,326,280,338,316;0.32358,0.48818,328,224,340,257;0.37668,0.24924,452,134,464,164;0.49326,0.94367,627,511,644,540;0.47576,0.67963,596,316,608,353;0.41282,0.44845,493,205,503,239;0.49990,0.49229,642,227,656,257;0.49565,0.87408,632,442,649,482;0.49540,0.54453,635,249,648,281;0.92899,0.52276,-100,-100,-200,-200;0.68732,0.30991,935,152,948,183;0.70294,0.50254,999,228,1014,259;0.73006,0.70446,1106,320,1120,361;0.73062,0.84884,1160,418,1179,455;0.62974,0.52692,875,236,889,271;0.71037,0.82481,1108,397,1123,439;0.61654,0.64844,872,293,883,332;0.51890,0.30342,672,151,684,182;0.54112,0.38086,710,180,723,210;0.53371,0.78449,717,380,730,416:NaN,NaN:-36,91,1299,90,1904,570,-733,619
21:0.06028,0.47850,7,235,18,276;0.41430,0.88893,436,456,455,497;0.33560,0.60955,325,280,337,316;0.32356,0.48819,328,224,340,257;0.37666,0.24898,452,134,464,164;0.49326,0.94367,627,511,644,540;0.47580,0.67984,597,316,608,353;0.41282,0.44845,493,205,503,239;0.49990,0.49229,642,227,656,257;0.49565,0.87407,632,442,649,482;0.49540,0.54449,635,249,648,281;0.92899,0.52276,-100,-100,-200,-200;0.68732,0.30991,935,152,948,183;0.70294,0.50254,999,228,1014,259;0.73008,0.70439,1106,320,1120,361;0.73062,0.84884,1160,418,1179,455;0.62974,0.52692,875,236,889,271;0.71027,0.82476,1108,397,1124,438;0.61654,0.64844,872,293,883,332;0.51908,0.30332,673,151,685,182;0.54131,0.38116,710,180,723,210;0.53370,0.78449,717,380,730,416:NaN,NaN:-36,91,1299,90,1904,570,-733,619
22:0.06028,0.47850,7,235,18,276;0.41452,0.88866,437,456,456,497;0.33554,0.60985,325,280,337,316;0.32353,0.48820,328,224,340,257;0.37664,0.24874,452,134,464,164;0.49326,0.94367,627,511,644,540;0.47581,0.67998,597,316,608,353;0.41282,0.44845,493,205,503,239;0.49990,0.49229,642,227,656,257;0.49565,0.87407,632,442,649,482;0.49540,0.54444,635,249,648,281;0.92899,0.52276,-100,-100,-200,-200;0.68732,0.30991,935,152,948,183;0.70294,0.50254,999,228,1014,259;0.73009,0.70433,1106,320,1120,361;0.73062,0.84884,1160,418,1179,455;0.62974,0.52692,875,236,889,271;0.71017,0.82470,1107,397,1123,438;0.61654,0.64844,872,293,883,332;0.51924,0.30323,673,151,685,182;0.54149,0.38143,710,180,723,210;0.53369,0.78448,718,380,731,416:NaN,NaN:-36,91,1299,90,1904,570,-733,619
23:0.06028,0.47850,7,235,18,276;0.41474,0.88841,437,455,456,496;0.33551,0.61015,325,280,337,316;0.32347,0.48821,328,224,340,257;0.37660,0.24851,452,134,464,163;0.49326,0.94367,627,512,644,540;0.47584,0.68010,598,317,609,354;0.41282,0.44845,493,205,503,239;0.49990,0.49229,642,227,656,257;0.49565,0.87406,632,441,650,482;0.49540,0.54440,634,249,647,281;0.92899,0.52276,-100,-100,-200,-200;0.68732,0.30991,935,152,948,183;0.70294,0.50254,999,228,1014,259;0.73010,0.70426,1106,320,1120,361;0.73062,0.84884,1160,418,1179,455;0.62974,0.52692,875,236,889,271;0.71011,0.82463,1107,397,1123,438;0.61654,0.64844,872,293,883,332;0.51940,0.30315,673,151,685,182;0.54168,0.38167,711,180,724,210;0.53369,0.78447,718,380,730,416:NaN,NaN:-36,91,1299,90,1904,570,-733,619
24:0.06028,0.47850,7,235,18,276;0.41493,0.88816,438,455,457,496;0.33546,0.61031,325,280,337,315;0.32332,0.48822,327,224,339,257;0.37655,0.24824,452,134,464,163;0.49326,0.94367,627,512,644,540;0.47593,0.68029,598,317,609,354;0.41282,0.44845,493,205,503,239;0.49990,0.49229,642,227,656,257;0.49565,0.87405,632,441,650,482;0.49541,0.54436,634,249,647,281;0.92899,0.52276,-100,-100,-200,-200;0.68732,0.30991,935,152,949,183;0.70294,0.50254,999,229,1014,259;0.73012,0.70419,1106,320,1120,361;0.73062,0.84884,1160,418,1179,455;0.62974,0.52692,875,236,889,271;0.71002,0.82454,1107,397,1123,438;0.61654,0.64844,872,293,883,332;0.51956,0.30303,674,151,686,182;0.54188,0.38188,711,180,724,210;0.53368,0.78447,718,380,730,416:NaN,NaN:-36,91,1299,90,1905,570,-733,619
25:0.06028,0.47850,7,235,18,276;0.41512,0.88789,438,455,456,496;0.33541,0.61046,324,280,336,315;0.32312,0.48822,327,224,339,257;0.37651,0.24797,452,134,464,163;0.49326,0.94367,627,512,643,540;0.47601,0.68052,598,317,609,354;0.41282,0.44845,493,205,504,239;0.49990,0.49229,642,227,656,257;0.49565,0.87405,632,441,650,482;0.49541,0.54431,634,249,647,281;0.92899,0.52276,-100,-100,-200,-200;0.68732,0.30991,935,152,949,183;0.70294,0.50254,999,229,1014,259;0.73013,0.70413,1106,320,1121,361;0.73062,0.84884,1160,419,1179,455;0.62974,0.52692,875,236,889,271;0.70992,0.82443,1106,397,1122,438;0.61654,0.64844,872,293,883,332;0.51971,0.30297,674,151,686,182;0.54208,0.38206,711,180,724,210;0.53367,0.78446,718,380,730,416:NaN,NaN:-36,91,1299,90,1905,570,-733,619

